KODE_KEL_BRG;URAIAN_KEL_BRG;ID_ SSH;KODE_ BARANG;URAIAN_BARANG;SPESIFIKASI;SATUAN;HARGA_SATUAN
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294628;1.1.12.01.01.0001.00079;Asbes;Asbes , (1.00 x 1.00) m x 6 mm;Lembar;19100
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294535;1.1.12.01.01.0001.00005;Besi Hollow ukuran 30X30 panjang 6m;Besi Hollow ukuran 30X30 panjang 6m;Batang;191250
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294627;1.1.12.01.01.0001.00078;Sekrup Segala ukuran;Sekrup Segala ukuran,;Buah;1100
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294626;1.1.12.01.01.0001.00077;Paku Beton;Paku Beton,;Kg;59600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294625;1.1.12.01.01.0001.00076;Paku 1;Paku 1;Kg;24700
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294624;1.1.12.01.01.0001.00075;Sekat Pembatas lorong;Sekat Pembatas lorong;M2;1609900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294623;1.1.12.01.01.0001.00074;KaLsiboard;KaLsiboard;Lembar;195100
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294622;1.1.12.01.01.0001.00073;Hollow Galvalum;Hollow Galvalum;Batang;429000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294621;1.1.12.01.01.0001.00072;Sealant;Sealant;Buah;63000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294620;1.1.12.01.01.0001.00071;Bahan bakar;Bahan bakar;Liter;10000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294619;1.1.12.01.01.0001.00070;Paku biasa;Paku biasa;Kg;26900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294618;1.1.12.01.01.0001.00069;Paku skrup 10 cm;Paku skrup 10 cm;Buah;1300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294617;1.1.12.01.01.0001.00068;Paku skrup 3,5;Paku skrup 3,5;Buah;1300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294616;1.1.12.01.01.0001.00067;Paku skrup 5 cm;Paku skrup 5 cm;Buah;1300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294615;1.1.12.01.01.0001.00066;Paku skrup 1 cm - 2,5 cm;Paku skrup 1 cm - 2,5 cm,;Kg;1300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294614;1.1.12.01.01.0001.00065;Batu bata / merah bakar kw biasa;Batu bata / merah bakar kw biasa,;Buah;900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294613;1.1.12.01.01.0001.00064;Valve Kuningan Drat Stop Kran 1/2 inch;Valve Kuningan Drat Stop Kran 1/2 inch;Buah;66400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294612;1.1.12.01.01.0001.00063;Double Nipple/Dobel Nepel 1/2 inchi x 1/2 inchi kuningan;Double Nipple/Dobel Nepel 1/2 inchi x 1/2 inchi kuningan;Unit;63900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294611;1.1.12.01.01.0001.00062;Bata Merah;Bata Merah;Buah;900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294610;1.1.12.01.01.0001.00061;Tanah Urug;Tanah Urug;M3;267300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294609;1.1.12.01.01.0001.00060;Thinner;Thinner;Kaleng;29200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294608;1.1.12.01.01.0001.00059;Minyak Cat;Minyak Cat;Liter;33900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294606;1.1.12.01.01.0001.00058;Kawat Bronjong;Kawat Bronjong 2,7mm uk 2x1x0,5m;Buah;512000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294605;1.1.12.01.01.0001.00057;Kawat Ram Kecil;Kawat Ram Kecil;Meter;5700
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294604;1.1.12.01.01.0001.00056;Plat besi 2 mm (120x240) mm;Plat besi 2 mm (120x240) mm;Lembar;1001000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294603;1.1.12.01.01.0001.00055;Besi Hollow 20*40*1,4;P 6m, L 20mm, T 40mm, Tb 1,4mm;Batang;102500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294602;1.1.12.01.01.0001.00054;Besi Wiremesh Ukuran M5 SNI;Besi Wiremesh Ukuran M5 SNI;Roll;3685000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294601;1.1.12.01.01.0001.00053;Besi Angkur;Besi Angkur , diameter 25 mm;Buah;12300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294600;1.1.12.01.01.0001.00052;Besi Siku 4cm x 4cm x 6m (tebal 4mm);Besi Siku 4cm x 4cm x 6m (tebal 4mm);Batang;213300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294599;1.1.12.01.01.0001.00051;Besi Hollow ukuran 40x40 panjang 6m;Besi Hollow ukuran 40x40 panjang 6m;Batang;429000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294598;1.1.12.01.01.0001.00050;Besi Beton;Besi Beton, D 10 mm, 12 m;Batang;105600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294597;1.1.12.01.01.0001.00049;Besi Beton;Besi Beton, D 8 mm, 12 m;Batang;68600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296054;1.1.12.01.01.0001.00119;Beton buis d = 30;Beton buis d = 30, Tinggi 50 Cm;Buah;123600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296055;1.1.12.01.01.0001.00120;Knee PVC;Knee PVC , dia 1/2;Buah;3200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296056;1.1.12.01.01.0001.00121;Pipa PVC tipe AW;Pipa PVC tipe AW , dia 1/2;Batang;31500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294596;1.1.12.01.01.0001.00048;Besi Beton;Besi Beton, D 6 mm, 12 m;Batang;41600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294595;1.1.12.01.01.0001.00047;Besi Beton;Besi Beton, D 5 mm, 11 m;Batang;25900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294594;1.1.12.01.01.0001.00046;Cat Genteng;Cat Genteng, 4 Kg;Kaleng;201800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294592;1.1.12.01.01.0001.00045;Atap Seng Galvalum Gelombang 6M;Atap Seng Galvalum Gelombang 6M;Lembar;266750
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294591;1.1.12.01.01.0001.00044;Cat Semprot Kaleng;Cat Semprot Kaleng;Buah;100000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296057;1.1.12.01.01.0001.00122;Pipa PVC tipe AW;Pipa PVC tipe AW , dia 3/4;Batang;39400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294590;1.1.12.01.01.0001.00043;Cat Besi;Cat Besi, Avian;Kg;85200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294589;1.1.12.01.01.0001.00042;Cat tembok;Cat tembok;Galon;600000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294588;1.1.12.01.01.0001.00041;Semir Ban;Semir Ban Black Magic;Kaleng;36200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294587;1.1.12.01.01.0001.00040;Politur;Politur;Kaleng;9600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294586;1.1.12.01.01.0001.00039;Cat tembok;Cat tembok;Kg;35000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294585;1.1.12.01.01.0001.00038;Cat tembok exterior;Cat tembok exterior;Buah;54900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294584;1.1.12.01.01.0001.00037;Cat Besi;Cat Besi;Buah;75800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295376;1.1.12.01.01.0001.00112;Kran Air 1/2;Kran Air 1/2;Buah;45000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295377;1.1.12.01.01.0001.00113;Shower spray;Shower spray , TOTO TX403SP1V;Buah;540500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295378;1.1.12.01.01.0001.00114;Slot/Kunci Pintu;Slot/Kunci Pintu;Buah;212400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295379;1.1.12.01.01.0001.00115;Kran air;Kran air;Buah;74700
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295380;1.1.12.01.01.0001.00116;Alat Semprot Rumput;Alat Semprot Rumput;Buah;1123600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295381;1.1.12.01.01.0001.00117;Kran Wastafel;Kran;Unit;561800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7295382;1.1.12.01.01.0001.00118;kunci emergency;kunci / segel disposible pada kotak emergency,;Box;850000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294583;1.1.12.01.01.0001.00036;Batu Alam Aquascape;Batu hias aquarium untuk Aquascape;Set;2500000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294582;1.1.12.01.01.0001.00035;Bata Merah;Bata Merah;Buah;800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294581;1.1.12.01.01.0001.00034;Paving Block 8cm Natural;Paving Block 8cm Natural;Buah;138800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294580;1.1.12.01.01.0001.00033;Kerikil/Koral;Kerikil/Koral;Kg;300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294579;1.1.12.01.01.0001.00032;Batu/ Batu kali/ Batu belah;Batu/ Batu kali/ Batu belah;M3;346400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294578;1.1.12.01.01.0001.00031;Batu Kali Pecah Tangan 2/3;Batu Kali Pecah Tangan 2/3;M3;339300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294577;1.1.12.01.01.0001.00030;Batu Koral Cor;Batu Koral Cor;M3;444000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294576;1.1.12.01.01.0001.00029;Batu kerikil pasir;Batu kerikil pasir;M3;364600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294575;1.1.12.01.01.0001.00028;Batu Kali;Batu Kali;M3;295000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294574;1.1.12.01.01.0001.00027;Batu Apung;Batu Apung;Kg;81000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294573;1.1.12.01.01.0001.00026;Pasir Malang;Pasir malang merah Aquascape;Zak;20000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294572;1.1.12.01.01.0001.00025;Silica;Silica sands untuk Aquascape;Zak;27000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294571;1.1.12.01.01.0001.00024;Pasir urug;Pasir urug,;M3;346400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294570;1.1.12.01.01.0001.00023;Pasir pasang kali/gunung;Pasir pasang kali/gunung,;M3;346400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294569;1.1.12.01.01.0001.00022;Sirtu;Sirtu;M3;335600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294568;1.1.12.01.01.0001.00021;Pasir Hitam;Pasir Hitam;M3;496400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294567;1.1.12.01.01.0001.00020;Pasir cor beton;Pasir cor beton;M3;496400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294566;1.1.12.01.01.0001.00019;Fly Ash;Fly Ash;Zak;10000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294565;1.1.12.01.01.0001.00018;KaLsium;KaLsium;Zak;38000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294564;1.1.12.01.01.0001.00017;Semen Gresik;Semen Gresik;Zak;52000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294563;1.1.12.01.01.0001.00016;Semen Portland ( Pc ) 40 Kg;Semen Portland ( Pc ) 40 Kg,;Zak;68600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294562;1.1.12.01.01.0001.00015;Semen Putih 40 Kg;Semen Putih 40 Kg;Zak;145900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294561;1.1.12.01.01.0001.00014;Kapur;Kapur;M3;1091300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294560;1.1.12.01.01.0001.00013;Dolosit;Dolosit;Zak;9300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294559;1.1.12.01.01.0001.00012;ACL;Asphalt Concrete Leveling;Ton;1528500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294558;1.1.12.01.01.0001.00011;HRS L;HRS L dengan kadar aspal;Ton;1583100
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294557;1.1.12.01.01.0001.00010;Aspal Buton;Aspal Buton Aspal Dingin;Ton;2460000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294556;1.1.12.01.01.0001.00009;Aspal Cair Polymer;Aspal Cair Polymer Tackoat;Drum;3471900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7303570;1.1.12.01.01.0001.00149;Bambu;Bambu , D 10 cm;Batang;32600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7303593;1.1.12.01.01.0001.00150;Kawat Pengikat Selang, Lokal, Stainless;Kawat Pengikat Selang Lokal Stainless;Kg;127500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294538;1.1.12.01.01.0001.00008;Paku klem 10 mm;Paku klem 10 mm;Box;34150
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294537;1.1.12.01.01.0001.00007;Cat Kolam;Cat Kolam;Kaleng;233800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294536;1.1.12.01.01.0001.00006;Jet Washer CloSet;Jet Washer CloSet;Buah;188100
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296449;1.1.12.01.01.0001.00148;Keramik Lantai Putih Mulia;Keramik Lantai Putih Mulia, 30 x 30 cm;M2;65200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296058;1.1.12.01.01.0001.00123;Pipa PVC tipe AW;Pipa PVC tipe AW , dia 1;Batang;52800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296059;1.1.12.01.01.0001.00124;Pipa PVC tipe AW;Pipa PVC tipe AW , dia 4;Batang;385500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296060;1.1.12.01.01.0001.00125;Pipa PVC 1/2 Inch;Pipa PVC 1/2 Inch,;Meter;42400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296061;1.1.12.01.01.0001.00126;Pipa PVC 1 Inch;Pipa PVC 1 Inch,;Meter;71300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296062;1.1.12.01.01.0001.00127;Pipa PVC tipe AW;Pipa PVC tipe AW , dia 6;Batang;888900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296063;1.1.12.01.01.0001.00128;Pipa PVC tipe C;Pipa PVC tipe C , dia 1/2;Batang;27000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296064;1.1.12.01.01.0001.00129;Pipa Air GI 1/2 Inch;Pipa Air GI 1/2 Inch, 1,5 mm;Batang;225900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296065;1.1.12.01.01.0001.00130;Pipa Flexibel;Pipa Flexibel, clipsal;Meter;13500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296066;1.1.12.01.01.0001.00131;Pipa Pengaman PVC;Pipa Pengaman PVC;Batang;80800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296067;1.1.12.01.01.0001.00132;Pipa PVC AW 2 Dim;Pipa PVC AW 2 Dim;Batang;130000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296068;1.1.12.01.01.0001.00133;Knee PVC;Knee PVC , dia 3/4;Buah;3400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296069;1.1.12.01.01.0001.00134;Knee PVC;Knee PVC , dia 1;Buah;7900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296070;1.1.12.01.01.0001.00135;Kenie Drat GI;Kenie Drat GI, 3/4;Buah;12300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296080;1.1.12.01.01.0001.00136;Timah Segel;Timah Segel;Kg;100000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296081;1.1.12.01.01.0001.00137;Timah Justir Tipis;Timah Justir Tipis;Kg;75000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296120;1.1.12.01.01.0001.00138;Timah Solder;Timah Solder Tenol;Roll;58300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296125;1.1.12.01.01.0001.00139;Kawat las listrik;Kawat las listrik;Buah;42000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296145;1.1.12.01.01.0001.00140;Mesin Gerinda 4800W;Mesin Gerinda 4800W;Unit;1250600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296188;1.1.12.01.01.0001.00141;Ungkal;Ungkal;Buah;21400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296189;1.1.12.01.01.0001.00142;Cetok lancip;Cetok lancip;Buah;21400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296190;1.1.12.01.01.0001.00143;Sekop taman;Sekop taman;Buah;73200
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296191;1.1.12.01.01.0001.00144;Gunting dahan;Gunting dahan;Buah;91500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296192;1.1.12.01.01.0001.00145;Mata pisau potong rumput gendong;Mata pisau potong rumput gendong;Buah;121900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296193;1.1.12.01.01.0001.00146;"Hand Traktor - Traktor Rotary Penggerak : Diesel 10,5 PK Power : 2.400 rpm Bahan Bakar ; Solar Kapasitas Tangki : 11 Liter Perlengkapan : Roda Karet dan Tangki Peluncur";"Hand Traktor - Traktor Rotary Penggerak : Diesel 10,5 PK Power : 2.400 rpm Bahan Bakar ; Solar Kapasitas Tangki : 11 Liter Perlengkapan : Roda Karet dan Tangki Peluncur";Unit;41444800
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7296194;1.1.12.01.01.0001.00147;Golok Tebas (10 INCH);Golok Tebas (10 INCH);Unit;115600
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7553395;1.1.12.01.01.0001.00157;Bahan-Bahan Material Bangunan dan Konstruksi untuk Penanggulangan Bencana pada BPBD;Bahan-Bahan Material Bangunan dan Konstruksi untuk Penanggulangan Bencana pada BPBD;Tahun;330000000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7553261;1.1.12.01.01.0001.00156;Aluminium Composite Panel (ACP);Aluminium Composite Panel (ACP);Lembar;1170000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7479124;1.1.12.01.01.0001.00155;Pallet Plastik;Pallet Plastik;Buah;366000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7312380;1.1.12.01.01.0001.00154;Tong Biru 200 Liter;Tong Biru 200 Liter;Unit;450000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7312378;1.1.12.01.01.0001.00153;Tong Biru 120 Liter;Tong Biru 120 Liter;Unit;300000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7312372;1.1.12.01.01.0001.00152;Lem Lilin;Lem Lilin;Pak;85000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7312369;1.1.12.01.01.0001.00151;Alat Tembak Lem;Alat Tembak Lem;Buah;27000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294701;1.1.12.01.01.0001.00111;Kayu Aquascape;Kayu santigi grade AA untuk Aquascape;Set;955000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294700;1.1.12.01.01.0001.00110;Triplek;Triplek 9 mm;M2;150000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294699;1.1.12.01.01.0001.00109;Pemukul Gong;Pemukul Gong Kayu Jati;Buah;250000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294698;1.1.12.01.01.0001.00108;Balok Kayu;Balok Kayu 6/12;Batang;208000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294697;1.1.12.01.01.0001.00107;Balok Kayu;Balok Kayu 6/10;Batang;183000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294696;1.1.12.01.01.0001.00106;Patok kayu kaso 5/7 - 1m;Patok kayu kaso 5/7 - 1m,;Lembar;28000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294695;1.1.12.01.01.0001.00105;Kayu balok klas 2 (Kamper Medan/Borneo Super);Kayu balok klas 2 (Kamper Medan/Borneo Super),;Batang;14654300
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294694;1.1.12.01.01.0001.00104;Triplek;Triplek , 3 mm;M2;80900
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294693;1.1.12.01.01.0001.00103;Kayu 4/6;Kayu 4/6;Batang;87500
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294692;1.1.12.01.01.0001.00102;Kawat Tembaga d=0,2mm;Kawat Tembaga d=0,2mm;Kg;100000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294691;1.1.12.01.01.0001.00101;Kawat Ulir d=0,2 mm;Kawat Ulir d=0,2 mm;Roll;300000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294690;1.1.12.01.01.0001.00100;Kawat Pengikat Selang, Lokal, Stainless (1 Roll = 1 Kg);Kawat Pengikat Selang, Lokal, Stainless (1 Roll = 1 Kg);Roll;173000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294689;1.1.12.01.01.0001.00099;Kawat Ram dan Lis Ventilasi Keliling;Kawat Ram dan Lis Ventilasi Keliling;Meter;112400
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294647;1.1.12.01.01.0001.00098;Wall Board;Wall Board;Unit;20000000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294646;1.1.12.01.01.0001.00097;Pipa dan Difusser;HA D501 DIY Co2 Diffuser Kit Planted Aquarium CO2 Diffuser Nee;Set;300000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294645;1.1.12.01.01.0001.00096;Galvalum Plat;Galvalum Plat;Meter;50000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294644;1.1.12.01.01.0001.00095;Geomembran 0,5 mm;Geomembran 0,5 mm;M2;45000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294643;1.1.12.01.01.0001.00094;PLat Seng Galvalum Anti Karat;PLat Seng Galvalum Anti Karat;Roll;1925000
1.1.12.01.01.0001;Bahan Bangunan dan Konstruksi;7294641;1.1.12.01.01.0001.00092;Stop Kran kuningan, 2;Stop Kran kuningan, 2;Buah;927200
1.1.12.01.01.0002;Bahan Kimia;7295827;1.1.12.01.01.0002.00018;Larutan Extran;Larutan Extran;Botol;1442800
1.1.12.01.01.0002;Bahan Kimia;7295856;1.1.12.01.01.0002.00047;Reagen Hiv/Syphilis DUO;Reagen Hiv/Syphilis DUO;Buah;439096
1.1.12.01.01.0002;Bahan Kimia;7295855;1.1.12.01.01.0002.00046;e.Coli;e.Coli;Sampel;500000
1.1.12.01.01.0002;Bahan Kimia;7295854;1.1.12.01.01.0002.00045;Cover Glass;Cover Glass;Box;82500
1.1.12.01.01.0002;Bahan Kimia;7295853;1.1.12.01.01.0002.00044;Coliform;Coliform;Sampel;120000
1.1.12.01.01.0002;Bahan Kimia;7295852;1.1.12.01.01.0002.00043;Chlorine/Sisa Khlor Tesr;Chlorine/Sisa Khlor Tesr;Sampel;650000
1.1.12.01.01.0002;Bahan Kimia;7295851;1.1.12.01.01.0002.00042;Ammonia/Amonia Test;Ammonia/Amonia Test;Sampel;1600000
1.1.12.01.01.0002;Bahan Kimia;7295850;1.1.12.01.01.0002.00041;Sulphate/Sulfat Test;Sulphate/Sulfat Test;Sampel;1015000
1.1.12.01.01.0002;Bahan Kimia;7554843;1.1.12.01.01.0002.00053;Spirtus;Spirtus,;Botol;74000
1.1.12.01.01.0002;Bahan Kimia;7295849;1.1.12.01.01.0002.00040;Manganese/Mangan Test;Manganese/Mangan Test;Sampel;1220000
